GEOID,district
08005005105,3
08005005106,4
08005005107,4
08005005108,3
08005005109,3
08005005110,3
08005005111,4
08005005112,3
08005005113,4
08005005114,3
08005005115,4
08005005116,3
08005005117,4
08005005118,3
08005005119,4
08005005120,1
08005005121,1
08005005122,1
08005005123,3
08005005124,1
08005005125,5
08005005126,1
08005005127,1
08005005128,5
08005005129,1
08005005130,3
08005005131,4
08005005132,4
08005005133,1
08005005134,4
08005005135,4
08005005136,1
08005005137,1
08005005138,1
08005005139,1
08005005140,1
08005005141,1
08005005142,1
08005005143,1
08005005144,3
08005005145,1
08005005146,3
08005005147,3
08005005148,3
08005005149,3
08005005150,1
08005005151,1
08005005152,5
08005005153,5
08005005154,5
08005005155,1
08005005156,1
08005005157,1
08005005158,1
08005005159,1
08005005160,5
08005005161,5
08005005162,5
08005005163,5
08005005164,5
08005005165,1
08005005166,1
08005005167,1
08005005168,1
08005005169,5
08005005170,1
08005005171,1
08005005172,1
08005005173,5
08005005174,5
08005005175,5
08005005176,1
08005005177,5
08005005178,5
08005005179,5
08005005180,5
08005005181,5
08005005182,4
08005005183,4
08005005184,5
08005005185,5
08005005186,5
08005005187,4
08005005188,4
08005005189,4
08005005190,5
08005005191,5
08005005192,4
08005005193,4
08005005194,4
08005005195,5
08005005196,5
08005005197,5
08005005201,1
08005005202,1
08005005203,1
08005005204,1
08005005205,5
08005005206,5
08005005207,5
08005005208,1
08005005209,1
08005005210,5
08005005211,4
08005005212,4
08005005213,5
08005005214,5
08005005215,4
08005005216,5
08005005217,4
08005005218,5
08005005219,4
08005005220,5
08005005221,4
08005005222,4
08005005223,4
08005005224,4
08005005225,5
08005005226,5
08005005227,4
08005005228,5
08005005229,4
08005005230,4
08005005231,4
08005005232,4
08005005233,4
08005005234,4
08005005235,4
08005005236,4
08005005237,4
08005005238,5
08005005239,5
08005005240,5
08005005241,5
08005005242,4
08005005243,4
08005005244,4
08005005245,1
08005005246,1
08005005247,1
08005005248,1
08005005249,4
08005005250,4
08005005251,4
08005005252,4
08005005253,1
08005005254,4
08005005255,1
08005005256,4
08005005257,4
08005005258,4
08005005259,1
08005005260,1
08005005261,4
08005005262,1
08005005263,4
08005005264,4
08005005265,4
08005005266,1
08005005267,1
08005005268,1
08005005269,1
08005005270,4
08005005271,4
08005005272,1
08005005273,4
08005005274,1
08005005275,1
08005005276,1
08005005277,4
08005005278,1
08005005279,1
08005005280,1
08005005281,1
08005005282,1
08005005283,1
08005005284,1
08005005285,4
08005005286,5
08005005301,1
08005005302,1
08005005303,1
08005005304,1
08005005305,4
08005005306,1
08005005307,1
08005005308,1
08005005309,1
08005005310,4
08005005311,7
08005005312,4
08005005313,1
08005005314,1
08005005315,4
08005005316,4
08005005317,4
08005005318,7
08005005319,4
08005005320,4
08005005321,4
08005005322,1
08005005323,1
08005005324,4
08005005325,1
08005005326,1
08005005327,4
08005005328,1
08005005329,4
08005005330,4
08005005331,1
08005005332,1
08005005333,1
08005005334,1
08005005335,4
08005005336,7
08005005337,4
08005005338,4
08005005339,1
08005005340,4
08005005341,4
08005005342,7
08005005343,4
08005005344,7
08005005345,4
08005005346,4
08005005347,7
08005005348,7
08005005349,4
08005005350,4
08005005351,7
08005005352,4
08005005353,4
08005005354,1
08005005355,4
08005005356,1
08005005357,4
08005005358,4
08005005359,6
08005005360,7
08005005361,4
08005005362,6
08005005363,6
08005005364,2
08005005365,2
08005005366,6
08005005367,1
08005005368,4
08005005369,4
08005005370,1
08005005371,4
08005005372,7
08005005373,4
08005005374,7
08005005375,1
08005005376,4
08005005377,4
08005005378,4
08005005379,1
08005005380,4
08005005381,4
08005005401,4
08005005402,1
08005005403,1
08005005404,1
08005005405,4
08005005406,1
08005005407,4
08005005408,4
08005005409,3
08005005410,4
08005005411,3
08005005412,3
08005005413,3
08005005414,3
08005005416,4
08005005417,3
08005005418,4
08005005419,3
08005005420,3
08005005421,4
08005005422,4
08005005423,4
08005005424,4
08005005425,4
08005005426,3
08005005427,3
08005005428,4
08005005429,3
08005005430,3
08005005431,4
08005005432,4
08005005433,3
08005005434,4
08005005435,4
08005005436,3
08005005437,4
08005005438,4
08005005439,4
08005005440,1
08005005441,1
08005005442,4
08005005443,4
08005005444,1
08005005445,1
08005005446,4
08005005447,1
08005005448,1
08005005449,4
08005005450,1
08005005451,1
08005005452,4
08005005453,4
08005005454,4
08005005455,4
08005005456,1
08005005457,4
08005005458,4
08005005459,1
08005005460,1
08005005461,1
08005005462,4
08005005463,4
08005005464,1
08005005465,1
08005005466,1
08005005467,1
08005005468,1
08005005469,4
08005005470,1
08005005471,1
08005005472,1
08005005473,4
08005005474,1
08005005475,1
08005005501,1
08005005502,1
08005005503,3
08005005504,3
08005005505,3
08005005506,3
08005005507,3
08005005508,4
08005005509,3
08005005510,4
08005005511,4
08005005512,4
08005005513,3
08005005514,4
08005005515,4
08005005516,3
08005005517,4
08005005518,4
08005005519,3
08005005520,3
08005005521,3
08005005522,4
08005005523,3
08005005524,4
08005005525,4
08005005526,4
08005005527,4
08005005528,1
08005005529,4
08005005530,1
08005005531,4
08005005532,4
08005005533,4
08005005534,4
08005005535,1
08005005536,4
08005005537,4
08005005538,4
08005005539,1
08005005540,1
08005005541,1
08005005542,1
08005005543,1
08005005544,1
08005005545,4
08005005546,4
08005005547,4
08005005548,7
08005005549,7
08005005550,4
08005005551,4
08005005552,1
08005005553,1
08005005554,4
08005005555,1
08005005556,4
08005005557,7
08005005558,1
08005005559,4
08005005560,4
08005005561,4
08007007001,8
08007007002,6
08007007003,8
08007007004,8
08007007005,8
08007007006,8
08007007007,6
08007007008,8
08009009001,6
08009009002,6
08009009003,6
08009009004,6
08009009005,6
08009009006,6
08009009007,5
08009009008,6
08009009009,6
08011011001,5
08011011002,6
08011011003,6
08011011004,6
08011011005,6
08013013100,8
08013013101,2
08013013102,2
08013013103,8
08013013104,8
08013013105,8
08013013106,2
08013013107,2
08013013200,2
08013013201,7
08013013202,2
08013013203,2
08013013204,7
08013013205,2
08013013206,2
08013013207,2
08013013208,7
08013013209,2
08013013210,7
08013013211,7
08013013212,7
08013013213,2
08013013214,8
08013013300,2
08013013301,2
08013013302,2
08013013303,7
08013013304,7
08013013305,2
08013013306,2
08013013307,7
08013013308,7
08013013309,2
08013013310,7
08013013311,2
08013013312,2
08013013313,7
08013013314,2
08013013315,7
08013013316,7
08013013400,7
08013013401,7
08013013402,8
08013013403,2
08013013404,2
08013013405,2
08013013406,7
08013013407,7
08013013408,7
08013013409,2
08013013410,2
08013013411,2
08013013412,2
08013013413,7
08013013500,2
08013013501,8
08013013502,2
08013013503,2
08013013504,8
08013013505,2
08013013506,2
08013013507,2
08013013508,8
08013013600,7
08013013601,7
08013013602,2
08013013603,2
08013013604,2
08013013605,7
08013013606,2
08013013607,7
08013013608,7
08013013609,7
08013013610,7
08013013611,2
08013013612,2
08013013613,7
08013013614,2
08013013615,2
08013013616,2
08013013617,2
08013013618,8
08013013619,2
08013013620,8
08013013621,8
08013013622,2
08013013623,2
08013013624,2
08013013625,2
08013013626,2
08013013627,7
08013013628,7
08013013629,7
08013013630,7
08013013631,7
08013013632,7
08013013633,7
08013013634,7
08013013635,7
08013013636,2
08013013637,2
08013013638,2
08013013639,8
08013013640,2
08013013641,2
08013013642,2
08013013643,7
08013013644,2
08013013645,2
08013013646,2
08013013647,7
08013013648,2
08013013649,2
08013013650,2
08013013651,7
08013013652,2
08013013653,2
08013013654,2
08013013700,2
08013013701,8
08013013702,2
08013013703,8
08013013704,2
08013013705,2
08013013706,8
08013013707,2
08013013708,7
08013013800,8
08013013801,8
08013013802,2
08013013803,2
08013013804,8
08013013805,8
08013013806,2
08013013807,8
08013013808,2
08013013809,2
08013013810,8
08013013811,8
08013013812,8
08013013813,8
08013013814,8
08013013815,8
08013013816,7
08013013817,8
08013013818,2
08013013819,2
08013013820,8
08013013821,7
08013013822,8
08013013823,8
08013013824,7
08013013825,8
08013013826,7
08013013827,7
08013013828,8
08013013829,8
08013013830,7
08013013831,8
08013013832,7
08013013833,7
08013013834,8
08013013835,8
08013013836,7
08013013837,7
08013013838,8
08013013839,8
08013013840,7
08013013841,8
08013013842,8
08013013843,7
08013013844,7
08013013845,8
08013013846,7
08013013847,8
08013013848,8
08013013849,7
08013013850,7
08013013851,7
08013013852,7
08013013853,8
08013013854,8
08013013855,7
08013013856,8
08013013857,7
08013013858,8
08013013859,8
08013013860,8
08013013861,7
08013013862,8
08013013863,8
08013013864,7
08013013865,7
08013013866,7
08013013867,7
08013013868,8
08013013869,8
08013013870,8
08013013871,7
08013013872,8
08013013873,7
08013013874,7
08013013875,7
08013013876,7
08013013877,8
08013013878,8
08013013879,8
08013013880,8
08013013881,7
08013013882,8
08013013883,8
08013013884,7
08013013885,8
08013013886,2
08013013887,2
08013013888,2
08013013900,8
08013013901,7
08013013902,5
08013013903,5
08013013904,7
08013013905,7
08013013906,8
08013013908,7
08013013909,8
08013013910,7
08013013911,8
08013013912,8
08013013913,2
08013013914,8
08013013915,8
08013013916,2
08013013917,2
08013013918,2
08014014001,7
08014014002,7
08014014003,2
08014014004,2
08014014005,2
08014014006,2
08014014007,7
08014014008,7
08014014009,2
08014014010,2
08014014011,2
08014014012,2
08014014013,7
08014014014,2
08014014015,2
08014014016,2
08014014017,2
08014014018,2
08014014019,2
08014014020,2
08014014021,7
08014014022,7
08014014023,2
08014014024,7
08014014025,2
08014014026,7
08014014027,2
08014014028,2
08014014029,7
08014014030,7
08014014031,2
08014014032,2
08014014033,7
08014014034,2
08014014035,2
08014014036,2
08014014037,2
08015015001,8
08015015002,8
08015015003,8
08015015004,8
08015015005,6
08015015006,8
08015015007,6
08015015008,6
08015015009,6
08017017001,6
08017017002,6
08017017003,5
08017017004,5
08017017005,5
08019019001,5
08019019002,8
08019019003,5
08019019004,8
08019019005,8
08019019006,5
08019019007,5
08019019008,5
08019019009,5
08021021001,8
08021021002,8
08021021003,8
08021021004,8
08021021005,6
08021021006,6
08021021007,8
08021021008,8
08021021009,6
08021021010,8
08023023001,6
08023023002,8
08023023003,8
08023023004,6
08023023005,8
08023023006,8
08023023007,6
08023023008,6
08025025001,4
08025025002,4
08025025003,5
08025025004,4
08025025005,4
08025025006,4
08027027001,8
08027027002,6
08027027003,8
08029029001,8
08029029002,6
08029029003,8
08029029004,8
08029029005,6
08029029006,6
08029029007,6
08029029008,8
08029029009,6
08029029010,8
08029029011,8
08029029012,6
08029029013,6
08029029014,6
08029029015,8
08029029016,8
08029029017,8
08029029018,8
08029029019,6
08029029020,6
08031031101,3
08031031102,3
08031031103,1
08031031104,3
08031031105,1
08031031106,3
08031031107,1
08031031108,3
08031031109,3
08031031110,1
08031031111,3
08031031112,1
08031031113,3
08031031114,1
08031031115,1
08031031116,3
08031031117,3
08031031118,1
08031031119,1
08031031120,3
08031031121,1
08031031122,3
08031031123,3
08031031124,3
08031031125,3
08031031126,1
08031031127,3
08031031128,1
08031031129,3
08031031130,3
08031031131,3
08031031132,3
08031031201,3
08031031202,3
08031031203,3
08031031204,3
08031031205,3
08031031206,1
08031031207,3
08031031208,3
08031031209,1
08031031210,3
08031031211,3
08031031212,1
08031031213,3
08031031214,3
08031031215,1
08031031216,3
08031031217,3
08031031218,1
08031031219,3
08031031220,3
08031031221,1
08031031222,1
08031031223,1
08031031224,1
08031031225,1
08031031226,1
08031031227,4
08031031228,1
08031031229,4
08031031230,4
08031031231,1
08031031232,1
08031031233,1
08031031234,4
08031031235,4
08031031236,4
08031031237,4
08031031238,4
08031031239,1
08031031240,3
08031031241,3
08031031242,3
08031031243,3
08031031244,4
08031031245,3
08031031246,4
08031031247,1
08031031248,4
08031031249,3
08031031250,4
08031031401,3
08031031402,1
08031031403,3
08031031404,3
08031031405,1
08031031406,1
08031031407,3
08031031408,1
08031031409,3
08031031410,1
08031031411,1
08031031412,3
08031031413,3
08031031414,1
08031031415,1
08031031416,3
08031031417,3
08031031418,3
08031031419,3
08031031420,3
08031031421,1
08031031422,1
08031031423,3
08031031424,1
08031031425,3
08031031426,1
08031031427,3
08031031428,1
08031031429,1
08031031430,3
08031031431,3
08031031432,1
08031031433,3
08031031434,3
08031031435,1
08031031436,1
08031031501,3
08031031502,3
08031031503,3
08031031504,1
08031031505,1
08031031506,3
08031031507,1
08031031508,1
08031031509,1
08031031510,3
08031031511,1
08031031512,3
08031031513,1
08031031514,3
08031031515,3
08031031516,1
08031031517,3
08031031518,3
08031031519,3
08031031520,1
08031031521,1
08031031522,3
08031031523,1
08031031524,3
08031031525,3
08031031526,3
08031031527,1
08031031528,1
08031031529,1
08031031530,3
08031031531,3
08031031532,1
08031031533,1
08031031534,1
08031031535,1
08031031536,3
08031031537,1
08031031538,3
08031031539,3
08031031601,3
08031031602,1
08031031603,1
08031031604,3
08031031605,1
08031031606,1
08031031607,3
08031031608,3
08031031609,3
08031031610,1
08031031611,1
08031031612,1
08031031613,3
08031031614,3
08031031615,1
08031031616,1
08031031617,3
08031031618,3
08031031619,3
08031031620,1
08031031621,1
08031031622,1
08031031623,1
08031031624,1
08031031625,3
08031031626,3
08031031627,1
08031031628,3
08031031629,1
08031031630,1
08031031631,3
08031031632,1
08031031633,3
08031031634,3
08031031635,3
08031031636,1
08031031637,3
08031031638,3
08031031639,1
08031031640,1
08031031641,3
08031031642,3
08031031643,3
08031031644,4
08031031645,4
08031031646,3
08031031647,3
08031031648,3
08031031649,3
08031031650,4
08031031651,4
08031031652,3
08031031701,3
08031031702,1
08031031703,3
08031031704,1
08031031705,1
08031031706,3
08031031707,3
08031031708,1
08031031709,1
08031031710,1
08031031711,1
08031031712,1
08031031713,1
08031031714,3
08031031715,7
08031031716,7
08031031717,7
08031031718,1
08031031719,3
08031031720,3
08031031721,7
08031031722,3
08031031723,1
08031031724,1
08031031725,3
08031031726,1
08031031727,7
08031031728,1
08031031729,1
08031031730,1
08031031731,1
08031031732,1
08031031733,7
08031031734,1
08031031735,1
08031031736,1
08031031737,7
08031031738,7
08031031739,7
08031031740,1
08031031741,7
08031031742,7
08031031743,1
08031031744,3
08031031801,1
08031031802,3
08031031803,1
08031031804,3
08031031805,1
08031031806,1
08031031807,3
08031031808,1
08031031809,3
08031031810,3
08031031811,1
08031031812,1
08031031813,1
08031031814,3
08031031815,3
08031031816,3
08031031817,3
08031031818,3
08031031819,3
08031031820,1
08031031821,1
08031031822,1
08031031823,1
08031031824,1
08031031825,1
08031031826,1
08031031827,1
08031031828,3
08031031829,3
08031031830,1
08031031831,1
08031031832,3
08031031833,3
08031031834,3
08031031835,1
08031031836,3
08031031837,1
08031031838,1
08031031839,1
08031031840,3
08031031841,3
08031031842,1
08031031843,1
08031031844,3
08031031845,3
08031031846,3
08031031847,3
08031031848,1
08031031849,3
08031031850,1
08031031851,1
08031031852,1
08031031853,3
08031031854,1
08031031855,3
08031031901,3
08031031902,1
08031031903,1
08031031904,1
08031031905,3
08031031906,3
08031031907,1
08031031908,4
08031031909,1
08031031910,1
08031031911,4
08031031912,4
08031031913,4
08031031914,1
08031031915,1
08031031916,1
08031031917,4
08031031918,4
08031031919,4
08031031920,4
08031031921,3
08031031922,4
08031031923,4
08031031924,4
08031031925,1
08031031926,4
08031031927,4
08031031928,1
08031031929,4
08031031930,1
08031031931,1
08031031932,1
08031031933,4
08031031934,1
08031031935,4
08031031936,1
08031031937,4
08031031938,4
08033033001,8
08033033002,8
08033033003,8
08033033004,8
08035035101,1
08035035102,5
08035035103,1
08035035104,5
08035035105,5
08035035106,1
08035035107,1
08035035108,1
08035035109,5
08035035110,1
08035035111,5
08035035112,5
08035035113,1
08035035114,1
08035035115,1
08035035116,1
08035035117,1
08035035201,5
08035035202,4
08035035203,4
08035035204,5
08035035205,5
08035035206,4
08035035207,4
08035035208,5
08035035209,4
08035035210,5
08035035211,4
08035035212,5
08035035213,5
08035035214,5
08035035215,4
08035035216,5
08035035217,5
08035035218,5
08035035219,4
08035035220,5
08035035221,5
08035035222,5
08035035223,5
08035035224,4
08035035225,5
08035035226,4
08035035227,5
08035035228,5
08035035229,4
08035035230,4
08035035231,4
08035035232,4
08035035233,4
08035035234,5
08035035235,5
08035035236,4
08035035237,5
08035035238,5
08035035239,4
08035035240,5
08035035241,5
08035035242,4
08035035243,4
08035035244,5
08035035245,5
08035035246,1
08035035247,5
08035035248,5
08035035249,5
08035035250,4
08035035251,4
08035035252,4
08035035253,4
08035035254,5
08035035255,4
08035035256,4
08035035257,4
08035035258,4
08035035259,4
08035035260,5
08035035261,5
08035035262,5
08035035263,5
08035035264,5
08035035265,5
08035035266,5
08035035301,5
08035035302,4
08035035303,4
08035035304,4
08035035305,4
08035035306,6
08035035307,4
08035035308,5
08035035309,5
08035035310,6
08035035311,4
08035035312,4
08035035313,4
08035035314,4
08035035315,4
08035035316,4
08035035317,6
08035035318,6
08035035319,6
08035035320,6
08035035321,6
08035035322,6
08035035323,4
08035035324,6
08035035325,6
08035035326,4
08035035327,4
08035035328,4
08035035329,4
08035035330,6
08035035331,6
08035035332,6
08035035333,4
08035035334,4
08035035335,4
08035035336,6
08035035337,4
08035035338,4
08035035339,4
08035035340,4
08035035341,6
08035035342,6
08035035343,5
08035035344,4
08035035345,4
08035035346,6
08035035347,5
08035035348,1
08035035349,4
08035035350,1
08035035351,4
08035035352,4
08035035353,4
08035035354,5
08035035401,5
08035035402,5
08035035403,5
08035035404,5
08035035405,5
08035035406,5
08035035501,5
08035035502,5
08035035503,4
08035035504,5
08035035505,5
08035035506,4
08035035507,5
08035035508,4
08035035509,5
08035035510,4
08035035511,4
08035035512,4
08037037001,8
08037037002,8
08037037003,8
08037037004,6
08037037005,6
08037037006,8
08037037007,8
08037037008,8
08037037009,6
08037037010,8
08037037011,6
08037037012,8
08037037013,6
08037037014,8
08037037015,8
08037037016,6
08037037017,6
08037037018,8
08037037019,8
08037037020,6
08037037021,8
08037037022,8
08037037023,8
08037037024,6
08037037025,6
08037037026,8
08037037027,6
08037037028,6
08037037029,6
08037037030,8
08039039001,4
08039039002,4
08039039003,4
08039039004,4
08039039005,6
08039039006,6
08039039007,6
08039039008,4
08039039009,4
08039039010,4
08039039011,4
08039039012,4
08039039013,4
08039039014,6
08039039015,4
08041041101,5
08041041102,6
08041041103,6
08041041104,6
08041041105,5
08041041106,5
08041041107,5
08041041108,6
08041041109,6
08041041110,6
08041041111,5
08041041112,6
08041041113,6
08041041114,6
08041041115,6
08041041116,6
08041041117,5
08041041118,5
08041041119,6
08041041120,5
08041041121,6
08041041122,5
08041041123,5
08041041124,5
08041041125,5
08041041126,5
08041041127,5
08041041128,6
08041041129,5
08041041130,6
08041041131,6
08041041132,5
08041041133,5
08041041134,4
08041041135,6
08041041136,5
08041041137,5
08041041138,5
08041041139,6
08041041140,5
08041041141,4
08041041142,4
08041041143,6
08041041144,5
08041041145,4
08041041146,6
08041041147,6
08041041148,6
08041041149,6
08041041150,6
08041041151,4
08041041152,6
08041041153,4
08041041154,6
08041041155,6
08041041156,6
08041041157,6
08041041158,6
08041041159,5
08041041160,5
08041041161,6
08041041162,5
08041041163,6
08041041164,4
08041041165,6
08041041166,6
08041041167,5
08041041168,6
08041041169,5
08041041170,6
08041041171,5
08041041172,5
08041041173,5
08041041174,5
08041041175,6
08041041176,6
08041041177,6
08041041178,6
08041041179,6
08041041180,5
08041041181,5
08041041182,6
08041041183,5
08041041184,5
08041041185,5
08041041186,6
08041041187,6
08041041188,5
08041041189,5
08041041190,5
08041041191,6
08041041192,5
08041041193,6
08041041194,6
08041041195,6
08041041196,6
08041041197,6
08041041198,5
08041041199,6
08041041200,5
08041041201,5
08041041202,5
08041041203,6
08041041204,5
08041041205,6
08041041206,6
08041041207,5
08041041208,6
08041041209,4
08041041210,4
08041041211,5
08041041212,5
08041041213,4
08041041214,4
08041041215,4
08041041216,4
08041041217,4
08041041218,4
08041041219,4
08041041220,4
08041041221,4
08041041222,4
08041041223,4
08041041224,4
08041041225,4
08041041226,5
08041041230,4
08041041231,4
08041041232,4
08041041233,4
08041041234,4
08041041235,4
08041041236,5
08041041237,5
08041041238,5
08041041239,5
08041041240,5
08041041241,4
08041041242,5
08041041243,4
08041041244,5
08041041245,5
08041041246,5
08041041247,5
08041041301,4
08041041302,5
08041041303,5
08041041304,4
08041041310,4
08041041311,4
08041041312,5
08041041313,5
08041041314,4
08041041315,5
08041041316,4
08041041317,4
08041041318,5
08041041319,5
08041041320,4
08041041321,4
08041041322,4
08041041401,5
08041041402,4
08041041403,4
08041041404,6
08041041405,4
08041041406,4
08041041407,4
08041041408,5
08041041409,6
08041041410,4
08041041411,4
08041041412,5
08041041413,5
08041041414,6
08041041415,5
08041041416,6
08041041417,6
08041041418,6
08041041419,6
08041041420,5
08041041421,5
08041041422,5
08041041423,5
08041041440,4
08041041441,4
08041041442,4
08041041443,4
08041041444,4
08041041445,4
08041041446,5
08041041447,4
08041041448,5
08041041449,5
08041041450,4
08041041451,4
08041041452,4
08041041453,4
08041041454,5
08041041500,4
08041041501,5
08041041502,5
08041041520,5
08041041521,5
08041041522,4
08041041523,5
08041041524,4
08041041525,4
08041041554,5
08041041560,5
08041041601,6
08041041602,6
08041041603,5
08041041604,5
08041041605,6
08041041606,6
08041041610,5
08041041611,6
08041041612,5
08041041613,6
08041041614,5
08041041615,6
08041041616,6
08041041619,6
08041041620,6
08041041621,5
08041041622,5
08041041623,6
08041041624,6
08041041625,6
08041041626,5
08041041627,6
08041041630,5
08041041631,6
08041041632,6
08041041633,6
08041041634,6
08041041635,5
08041041636,6
08041041637,6
08041041638,6
08041041639,5
08041041640,5
08041041641,5
08041041642,5
08041041643,6
08041041644,6
08041041650,6
08041041651,5
08041041652,5
08041041653,6
08041041721,5
08041041722,5
08041041723,6
08041041724,5
08041041725,6
08041041726,5
08041041727,6
08041041728,6
08041041729,6
08041041730,5
08041041740,5
08041041741,5
08041041742,5
08041041743,6
08041041744,6
08041041745,6
08041041800,6
08041041801,6
08041041802,6
08041041803,6
08041041804,6
08041041805,6
08041041806,6
08041041807,6
08041041808,5
08041041828,6
08041041839,5
08041041901,5
08043043001,5
08043043002,5
08043043003,5
08043043004,8
08043043005,8
08043043006,6
08043043007,8
08043043008,8
08043043009,8
08043043010,8
08043043011,8
08043043012,6
08043043013,8
08043043014,6
08043043015,6
08043043016,6
08043043017,8
08043043018,8
08043043019,8
08043043020,8
08043043021,6
08043043022,8
08043043023,8
08043043024,8
08043043025,6
08043043026,6
08043043027,6
08043043028,6
08043043029,8
08043043030,6
08045045001,6
08045045002,6
08045045003,6
08045045004,6
08045045005,8
08045045006,6
08045045007,8
08045045008,8
08045045009,6
08045045010,8
08045045011,6
08045045012,6
08045045013,6
08045045014,8
08045045015,8
08045045016,8
08045045017,8
08045045018,8
08045045019,8
08045045020,8
08045045021,8
08045045022,8
08045045023,8
08045045024,8
08045045025,8
08045045026,8
08045045027,8
08047047001,5
08047047002,5
08047047003,5
08047047004,5
08047047005,7
08047047006,5
08049049001,8
08049049002,8
08049049003,5
08049049004,8
08049049005,6
08049049006,8
08049049007,8
08049049008,8
08049049009,8
08049049010,8
08049049011,5
08049049012,8
08051051001,6
08051051002,6
08051051003,8
08051051004,8
08051051005,8
08051051006,8
08051051007,6
08051051008,8
08051051009,6
08051051010,6
08051051011,6
08051051012,8
08051051013,8
08051051014,8
08051051015,8
08053027001,6
08055055001,6
08055055002,8
08055055003,6
08055055004,6
08055055005,8
08055055006,6
08055055007,6
08055055008,8
08055055009,8
08055055010,6
08055055011,6
08057057001,8
08057057002,8
08057057003,8
08057057004,8
08057057005,2
08059059001,1
08059059002,1
08059059003,1
08059059004,3
08059059005,3
08059059006,3
08059059007,3
08059059008,1
08059059009,3
08059059010,3
08059059011,3
08059059012,1
08059059013,3
08059059014,3
08059059015,1
08059059016,1
08059059017,3
08059059018,5
08059059019,3
08059059020,1
08059059021,3
08059059022,1
08059059023,3
08059059024,3
08059059025,3
08059059026,1
08059059027,3
08059059028,3
08059059029,1
08059059030,1
08059059031,1
08059059032,1
08059059033,3
08059059034,3
08059059035,3
08059059036,7
08059059037,5
